type_of_day,cost_2pax_2night,cost_2pax_1night,room_type,bedrooms,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,longitude,latitude,distance_km,dist_eiffel_tower_km,dist_louvre_museum_km,dist_notre_dame_cathedral_km,dist_arc_de_triomphe_km,dist_sacré_cœur_km,dist_musée_dorsay_km,dist_centre_pompidou_km,dist_luxembourg_gardens_km,dist_sainte_chapelle_km,dist_panthéon_km,dist_nearest_top_poi_km,dist_avg_top_pois_km,n_top_pois_within_1km,n_top_pois_within_2km,n_top_pois_within_3km,nearest_poi_band,lat_api,lon_api,n_geoapify_pois_total,n_geoapify_tourism,n_geoapify_attractions,n_geoapify_sights,n_geoapify_heritage,geoapify_tourism_density_score,geoapify_limit_hit
weekend,394.7245782458757,197.36228912293785,Entire home/apt,1,2.0,False,9.0,89.0,2.33927,48.85487,1.0063938240793138,3.2988173066524604,0.6487548842798699,0.8050516349491722,3.8622915872051755,3.5504025733243676,1.0883840944402334,1.1405084792112328,0.975885165629826,0.4233425606702603,1.0825419717275724,0.4233425606702603,1.687598025809017,4,7,7,0-0.5 km,48.85,2.34,20,14,12,3,8,38,1.0
weekend,287.07242054245506,143.53621027122753,Private room,1,2.0,False,10.0,94.0,2.34349,48.87597,2.261277593049277,4.081348814895961,1.7625284967122339,2.596828986730171,3.554443599261196,1.193462342340308,2.163239928730465,1.8239445424801166,3.342100067383584,2.2899449297421035,3.3153614964426597,1.193462342340308,2.6123203204718797,0,3,6,1-2 km,48.88,2.34,20,11,6,5,12,34,1.0
weekend,305.71348681144565,152.85674340572282,Private room,1,2.0,False,9.0,83.0,2.32478,48.85609,2.052144496976536,2.2301053446453647,1.0635380742924854,1.869702559452783,2.9365279774190323,3.657915450503137,0.4547033863095225,2.067719198758429,1.4266059087059633,1.4813136534134654,1.9026396413377942,0.4547033863095225,1.9090771194837977,1,6,9,0-0.5 km,48.86,2.32,20,13,7,10,11,45,1.0
weekend,866.8095815080623,433.4047907540311,Entire home/apt,2,6.0,False,10.0,88.0,2.35136,48.86722,1.1886165622128542,4.273435519725981,1.2469872114989142,1.584795036772789,4.1865948512280315,2.248727660017941,1.9811499436268698,0.7386704998884164,2.5566067417589653,1.394241803330708,2.3699841057567514,0.7386704998884164,2.2581193373605366,1,5,8,0.5-1 km,48.87,2.35,20,7,4,4,17,33,1.0
weekend,866.8095815080623,433.4047907540311,Entire home/apt,2,6.0,False,10.0,89.0,2.35289,48.86893,1.3743887758876296,4.4288052289968975,1.4521875579087036,1.784788827096157,4.268486064437201,2.1016369140476168,2.1643080899430975,0.9276278592423782,2.7759043088735926,1.6113805836464044,2.577234632885139,0.9276278592423782,2.4092360067077188,1,4,8,0.5-1 km,48.87,2.35,20,7,4,4,17,33,1.0
weekend,373.98639202162366,186.99319601081183,Entire home/apt,1,2.0,True,10.0,98.0,2.35258,48.87335,1.8657365830145067,4.562018367471674,1.7918038253508168,2.271293200931857,4.211435216558425,1.638344463446419,2.411393055102183,1.4180077544948286,3.2217909372224516,2.0715326316285547,3.0570776079714492,1.4180077544948286,2.665469706017866,0,3,6,1-2 km,48.87,2.35,20,7,4,4,17,33,1.0
weekend,287.3054338708174,143.6527169354087,Entire home/apt,1,2.0,False,9.0,91.0,2.34905,48.867740000000005,1.2713054699211206,4.123312103680645,1.1540499139320464,1.6401923279863093,4.010210120474427,2.1526903010716634,1.8540674784123359,0.8266928085617226,2.5472099768101915,1.4037658762053393,2.4055102670419446,0.8266928085617226,2.211770117417662,1,5,8,0.5-1 km,48.87,2.35,20,7,4,4,17,33,1.0
weekend,382.1418585143071,191.07092925715355,Entire home/apt,1,4.0,False,10.0,97.0,2.33218,48.85378,1.5401284461491818,2.8041641494809935,0.8557598752882134,1.2993804697084024,3.514601988921094,3.7466571835806457,0.803124290373198,1.6493318906803285,0.9194169944452185,0.9550930707581385,1.3164157900122369,0.803124290373198,1.7863945703248465,4,7,8,0.5-1 km,48.85,2.33,20,15,13,2,6,36,1.0
weekend,426.4143909031597,213.20719545157985,Entire home/apt,2,3.0,False,9.0,97.0,2.32912,48.85732,1.7350886679898017,2.535589253761872,0.71963786179084,1.594396756760321,3.096279855949919,3.4231734024539744,0.35041782071334654,1.7274007098917914,1.3705507688330094,1.1812435324154307,1.747651363575265,0.35041782071334654,1.7746341326145767,2,7,8,0-0.5 km,48.86,2.33,20,16,15,3,5,41,1.0
weekend,486.5318296206543,243.2659148103272,Entire home/apt,0,4.0,False,9.0,95.0,2.35327,48.8537,0.3210399211749608,4.331319516291559,1.3794626019298182,0.2585600811269631,4.812866555888453,3.7440659180424016,2.0731182005808177,0.7712280678644192,1.441559983665489,0.6339009663594485,0.98917069499211,0.2585600811269631,2.0435252586741486,4,6,7,0-0.5 km,48.85,2.35,20,14,7,10,8,42,1.0
weekend,169.63370304781435,84.81685152390718,Entire home/apt,0,2.0,True,10.0,95.0,2.36095,48.8631,0.9431801994736608,4.889107370498317,1.730585207178149,1.3837592092245967,4.968339767020229,2.930969437081654,2.536338676366292,0.6978436238635666,2.559434723699037,1.4472750727637673,2.174337529103084,0.6978436238635666,2.531799061679869,1,4,8,0.5-1 km,48.86,2.36,20,11,1,10,13,35,
weekend,289.4025538260789,144.70127691303944,Entire home/apt,0,2.0,False,8.0,88.0,2.3566700000000003,48.86327,0.7988180330884639,4.580112610567835,1.426259681871315,1.2447496695305313,4.660206674275757,2.78791501906397,2.2295564565802075,0.44166427817479603,2.3731677969570883,1.222566073330809,2.0523611656134273,0.44166427817479603,2.3018559425965734,1,4,8,0-0.5 km,48.86,2.36,20,11,1,10,13,35,
weekend,507.037002516544,253.518501258272,Entire home/apt,2,3.0,True,10.0,94.0,2.31215,48.87865,3.858843917800456,2.5955241565535347,2.737388522569678,3.9698213191052814,1.3652372163272593,2.4337203360409205,2.327577381224041,3.5509368044498557,4.046915686523305,3.529475173398063,4.376202387875967,1.3652372163272593,3.0932798984067906,0,1,5,1-2 km,48.88,2.31,20,14,8,6,11,39,1.0
weekend,318.29620654301425,159.14810327150713,Entire home/apt,1,2.0,False,9.0,90.0,2.318,48.871,3.011451316175959,2.217628455519241,1.841943046026236,3.074335491458746,1.7107248690841619,2.533132512849246,1.3754293897860408,2.7559804710595612,3.0947544194752847,2.628662159244514,3.4351868419701255,1.3754293897860408,2.4667777656473153,0,3,7,1-2 km,48.87,2.32,20,16,8,11,8,46,1.0
weekend,792.4783297604623,396.2391648802312,Private room,2,4.0,False,9.0,92.0,2.3599,48.86432,1.0090467895660862,4.829299152144412,1.6829095431696022,1.455881387007221,4.86255200992616,2.7753143038625256,2.482876413197062,0.6988369141174088,2.6110965885688997,1.4737435210651573,2.2569504742160906,0.6988369141174088,2.5129460307274534,1,4,8,0.5-1 km,48.86,2.36,20,11,1,10,13,35,
weekend,1121.2601360797837,560.6300680398919,Entire home/apt,3,6.0,False,9.0,91.0,2.3511,48.86941,1.4328130449429606,4.317476051624465,1.390978360759411,1.826819114334969,4.131994675965362,2.009601787731721,2.075231695866523,0.9829261970099944,2.773949676774004,1.6204893482235492,2.6076646966943606,0.9829261970099944,2.373713160498436,1,4,8,0.5-1 km,48.87,2.35,20,7,4,4,17,33,1.0
