,type_of_day,cost_2pax_2night,cost_2pax_1night,room_type,bedrooms,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,longitude,latitude,distance_km
109,weekday,622.1455867275608,311.0727933637804,Entire home/apt,1,4.0,False,9.0,91.0,2.35133,48.86786,1.2596886372771172
110,weekday,1077.453630347656,538.726815173828,Entire home/apt,1,3.0,False,4.0,20.0,2.32646,48.88002,3.242462419833671
111,weekday,672.0104389971107,336.00521949855533,Entire home/apt,1,3.0,False,9.0,82.0,2.3517900000000003,48.86845,1.3228488530649094
112,weekday,805.061049492031,402.5305247460155,Entire home/apt,2,4.0,False,9.0,75.0,2.35146,48.86866,1.347648163272075
113,weekday,358.8405256780688,179.4202628390344,Entire home/apt,1,3.0,False,9.0,83.0,2.33374,48.86693,1.808471459460988
114,weekday,277.9849007363221,138.99245036816106,Entire home/apt,0,2.0,False,9.0,97.0,2.357,48.86814,1.3238202519408109
115,weekday,347.4228725883121,173.71143629415604,Entire home/apt,0,2.0,False,9.0,82.0,2.30837,48.86968,3.566310300488664
116,weekday,377.48159194705937,188.74079597352969,Entire home/apt,1,3.0,False,9.0,80.0,2.30853,48.87141,3.6386446289924814
117,weekday,336.00521949855533,168.00260974927767,Entire home/apt,0,2.0,False,8.0,93.0,2.30809,48.87189,3.691736688468492
118,weekday,321.79140646845,160.895703234225,Entire home/apt,0,2.0,False,9.0,78.0,2.31015,48.86982,3.454176406303297
119,weekday,324.35455308043623,162.17727654021812,Private room,1,2.0,False,9.0,92.0,2.337,48.854,1.1897995345544272
120,weekday,416.860844440302,208.430422220151,Entire home/apt,1,2.0,False,10.0,98.0,2.35156,48.86437,0.8717815059745859
121,weekday,355.5783390809954,177.7891695404977,Entire home/apt,0,2.0,False,9.0,87.0,2.34241,48.85158,0.9392894437911538
122,weekday,336.00521949855533,168.00260974927767,Private room,1,2.0,False,10.0,100.0,2.353,48.86600000000001,1.048785897159841
123,weekday,341.5975393792525,170.79876968962625,Entire home/apt,1,4.0,False,8.0,89.0,2.35679,48.86757,1.2586214719653015
124,weekday,232.0812750489328,116.0406375244664,Entire home/apt,0,3.0,False,9.0,87.0,2.3486700000000003,48.87537,2.111532766249621
125,weekday,489.5610028893653,244.78050144468264,Private room,1,2.0,False,9.0,87.0,2.32812,48.87854,3.037837954643149
126,weekday,552.4746015472085,276.23730077360426,Entire home/apt,1,4.0,False,9.0,93.0,2.3516,48.8676,1.2293761962569971
127,weekday,339.50041942399105,169.75020971199552,Entire home/apt,0,2.0,False,9.0,86.0,2.357,48.864,0.8832486773055807
128,weekday,324.35455308043623,162.17727654021812,Private room,1,2.0,False,9.0,89.0,2.337,48.854,1.189812230393788
129,weekday,324.35455308043623,162.17727654021812,Private room,1,2.0,False,9.0,90.0,2.337,48.854,1.1898175767150432
130,weekday,307.81060676670705,153.90530338335353,Entire home/apt,1,2.0,True,9.0,93.0,2.35761,48.87015,1.5515389800409265
131,weekday,463.23049678441606,231.61524839220803,Private room,1,4.0,False,9.0,89.0,2.35604,48.86693,1.177094012836009
132,weekday,466.9587100382142,233.4793550191071,Entire home/apt,1,4.0,False,9.0,93.0,2.33525,48.86783,1.7929035017607975
133,weekday,368.3940721409265,184.19703607046324,Entire home/apt,0,2.0,False,9.0,91.0,2.33662,48.86767,1.7095369624298953
134,weekday,339.50041942399105,169.75020971199552,Entire home/apt,0,2.0,False,10.0,90.0,2.357,48.864,0.8832533363741372
135,weekday,358.8405256780688,179.4202628390344,Entire home/apt,1,4.0,True,9.0,98.0,2.33802,48.87322,2.1432778213041312
136,weekday,173.36191630161247,86.68095815080623,Private room,1,2.0,True,10.0,98.0,2.3658200000000003,48.86682,1.4895326851897068
137,weekday,282.4121539752074,141.2060769876037,Private room,2,3.0,False,9.0,89.0,2.337,48.854,1.1897968981005371
138,weekday,423.3852176344487,211.69260881722434,Private room,1,2.0,False,9.0,89.0,2.3285400000000003,48.87837,3.004340165563506
