,type_of_day,cost_2pax_2night,cost_2pax_1night,room_type,bedrooms,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,longitude,latitude,distance_km
1706,weekend,243.2659148103272,121.6329574051636,Entire home/apt,1,2.0,False,10.0,100.0,2.33371,48.8895,3.918138490116255
1707,weekend,146.09935688321372,73.04967844160686,Entire home/apt,0,2.0,False,10.0,100.0,2.34182,48.87696,2.404459870331125
1708,weekend,295.4609003635008,147.7304501817504,Entire home/apt,1,3.0,False,9.0,95.0,2.349,48.883,2.951285679411507
1709,weekend,246.29508807903807,123.14754403951903,Entire home/apt,1,2.0,False,10.0,100.0,2.33065,48.88469,3.5213134257471435
1710,weekend,336.00521949855533,168.00260974927767,Entire home/apt,1,2.0,False,10.0,100.0,2.3388,48.87752,2.5439398556347106
1711,weekend,622.3786000559232,311.1893000279616,Entire home/apt,1,6.0,False,10.0,97.0,2.34831,48.877,2.2946296511270194
1712,weekend,185.9446360331811,92.97231801659055,Private room,1,2.0,False,9.0,95.0,2.34737,48.88844,3.565079729599037
1713,weekend,155.8859166744338,77.9429583372169,Entire home/apt,0,2.0,False,9.0,88.0,2.37023,48.87132,2.081839902736331
1714,weekend,324.35455308043623,162.17727654021812,Entire home/apt,1,2.0,False,9.0,100.0,2.3404700000000003,48.87716,2.4599171211658213
1715,weekend,370.7242054245503,185.36210271227515,Entire home/apt,1,3.0,False,9.0,90.0,2.34478,48.88343,3.042875423710871
1716,weekend,477.44430981452143,238.72215490726072,Entire home/apt,1,4.0,False,8.0,80.0,2.34736,48.87962,2.592982600321543
1717,weekend,249.5572746761115,124.77863733805574,Private room,1,2.0,False,10.0,90.0,2.32841,48.88199,3.342540304747967
1718,weekend,249.5572746761115,124.77863733805574,Private room,1,2.0,False,10.0,85.0,2.32989,48.88162,3.250567651981319
1719,weekend,298.9561002889365,149.47805014446826,Entire home/apt,1,2.0,False,10.0,100.0,2.34312,48.87892,2.5832528646016244
1720,weekend,174.293969615062,87.146984807531,Private room,0,2.0,False,8.0,80.0,2.33475,48.88479,3.403719281898528
1721,weekend,382.3748718426694,191.1874359213347,Entire home/apt,1,3.0,False,7.0,87.0,2.3620400000000004,48.87901,2.586327872598671
1722,weekend,266.5672476465654,133.2836238232827,Entire home/apt,1,3.0,False,10.0,100.0,2.36455,48.87092,1.8153120714583904
1723,weekend,209.01295554105693,104.50647777052846,Entire home/apt,1,2.0,False,8.0,96.0,2.3715900000000003,48.87959,2.9086686316314045
1724,weekend,266.5672476465654,133.2836238232827,Entire home/apt,0,3.0,False,10.0,93.0,2.36944,48.87046,1.97090460781188
1725,weekend,384.70500512629326,192.35250256314663,Entire home/apt,0,2.0,False,9.0,97.0,2.37038,48.87044,2.012762274901613
1726,weekend,266.5672476465654,133.2836238232827,Entire home/apt,1,2.0,False,6.0,80.0,2.31611,48.8834,4.0145133919453295
1727,weekend,195.4981824960388,97.7490912480194,Entire home/apt,1,2.0,False,10.0,96.0,2.37148,48.87631,2.589357891821612
1728,weekend,417.0938577686644,208.5469288843322,Entire home/apt,0,2.0,False,10.0,100.0,2.3628,48.87056,1.7214901148549688
1729,weekend,753.3320905955821,376.6660452977911,Entire home/apt,1,4.0,False,10.0,100.0,2.36147,48.871,1.7273618637255554
1730,weekend,183.1484760928325,91.57423804641626,Entire home/apt,0,2.0,False,9.0,98.0,2.3649,48.876740000000005,2.413215161644612
1731,weekend,312.7038866623171,156.35194333115854,Entire home/apt,1,2.0,False,2.0,60.0,2.347,48.885,3.18877517803962
1732,weekend,231.61524839220803,115.80762419610402,Entire home/apt,0,2.0,False,10.0,100.0,2.33703,48.87601,2.4495424022845014
1733,weekend,533.1344952931308,266.5672476465654,Entire home/apt,1,2.0,False,10.0,100.0,2.33896,48.87676,2.461970115647081
1734,weekend,304.5484201696337,152.27421008481684,Entire home/apt,1,3.0,False,9.0,100.0,2.3498900000000003,48.87785,2.375220430803765
1735,weekend,283.8102339453817,141.90511697269085,Entire home/apt,1,3.0,False,9.0,95.0,2.3707,48.86977,1.971874688658314
1736,weekend,336.00521949855533,168.00260974927767,Entire home/apt,1,4.0,False,10.0,93.0,2.3450900000000003,48.88153,2.8312859390591
1737,weekend,312.9368999906795,156.46844999533974,Entire home/apt,0,2.0,False,10.0,100.0,2.33838,48.88001,2.8109929463660004
1738,weekend,459.9683101873428,229.9841550936714,Entire home/apt,1,2.0,False,9.0,87.0,2.3748,48.87499,2.609716093060334
1739,weekend,219.96458197408893,109.98229098704446,Private room,1,2.0,False,10.0,100.0,2.3585700000000003,48.88166,2.822008981064296
1740,weekend,289.6355671544412,144.8177835772206,Entire home/apt,1,4.0,False,10.0,100.0,2.36208,48.87466,2.1246391033504186
1741,weekend,1049.0260042874452,524.5130021437226,Entire home/apt,2,6.0,False,10.0,100.0,2.36275,48.870540000000005,1.717893030071792
1742,weekend,630.5340665486066,315.2670332743033,Private room,2,5.0,False,10.0,100.0,2.32948,48.88258,3.357637513193498
1743,weekend,780.1286233572561,390.06431167862803,Entire home/apt,2,6.0,False,9.0,90.0,2.34146,48.87741,2.460455601918519
1744,weekend,273.55764749743685,136.77882374871842,Entire home/apt,0,2.0,False,9.0,100.0,2.32362,48.88587,3.895332374810281
1745,weekend,329.01481964768385,164.50740982384193,Private room,1,3.0,False,10.0,100.0,2.32903,48.8837,3.481808211207568
1746,weekend,788.0510765215771,394.02553826078855,Entire home/apt,2,6.0,False,10.0,100.0,2.32429,48.88606,3.8864184741406542
1747,weekend,428.7445241867835,214.37226209339175,Entire home/apt,2,3.0,False,9.0,90.0,2.35393,48.8747,2.0176732207710635
1748,weekend,356.9764190511697,178.48820952558486,Entire home/apt,1,3.0,False,10.0,80.0,2.3546400000000003,48.87203,1.7245722191260084
1749,weekend,310.60676670705567,155.30338335352783,Entire home/apt,1,4.0,False,9.0,80.0,2.35098,48.8776,2.3417573533688656
1750,weekend,270.7614875570883,135.38074377854414,Entire home/apt,1,2.0,False,10.0,100.0,2.37135,48.87136,2.136837264098591
1751,weekend,565.5233479355019,282.76167396775094,Entire home/apt,1,4.0,False,8.0,88.0,2.35799,48.8748,2.063064949431248
1752,weekend,207.84788889924505,103.92394444962252,Private room,1,2.0,False,10.0,100.0,2.36043,48.8836,3.057554036633897
1753,weekend,277.9849007363221,138.99245036816106,Entire home/apt,0,4.0,False,9.0,87.0,2.33316,48.88034,3.007877815989024
1754,weekend,254.21754124335916,127.10877062167958,Entire home/apt,0,4.0,False,10.0,100.0,2.36504,48.86753,1.5160447034317794
1755,weekend,194.3331158542269,97.16655792711344,Private room,1,2.0,False,10.0,100.0,2.32893,48.88576,3.685404454724045
1756,weekend,405.67620467890765,202.83810233945383,Entire home/apt,1,4.0,False,10.0,93.0,2.372,48.88347,3.307275071135047
1757,weekend,244.43098145213904,122.21549072606952,Entire home/apt,1,4.0,False,10.0,90.0,2.36656,48.87457,2.24316076251052
1758,weekend,405.67620467890765,202.83810233945383,Entire home/apt,0,2.0,False,10.0,100.0,2.33326,48.88888,3.8659212009588826
1759,weekend,618.8834001304875,309.44170006524377,Entire home/apt,1,4.0,False,8.0,100.0,2.33921,48.87073,1.86130290584438
1760,weekend,203.1876223319974,101.5938111659987,Entire home/apt,0,2.0,False,4.0,60.0,2.37211,48.87636,2.618829348652369
1761,weekend,119.76885077826452,59.88442538913226,Shared room,1,2.0,False,6.0,80.0,2.3667,48.88262,3.071700614782493
1762,weekend,304.5484201696337,152.27421008481684,Entire home/apt,0,2.0,False,10.0,80.0,2.36081,48.87991,2.6614972503811534
1763,weekend,331.57796625967006,165.78898312983503,Private room,1,2.0,False,10.0,100.0,2.3275,48.88057,3.247772442804349
1764,weekend,399.6178581414857,199.80892907074286,Private room,1,2.0,False,10.0,100.0,2.32818,48.88023,3.1883425424129506
1765,weekend,254.91658122844623,127.45829061422312,Entire home/apt,0,2.0,False,10.0,100.0,2.36076,48.88201,2.8888366909787684
1766,weekend,246.06207475067572,123.03103737533786,Entire home/apt,1,2.0,False,10.0,80.0,2.37088,48.87576,2.5141953253946814
1767,weekend,176.15807624196106,88.07903812098053,Entire home/apt,0,2.0,False,7.0,80.0,2.36746,48.87161,1.9902681270400984
1768,weekend,562.0281480100662,281.0140740050331,Entire home/apt,1,4.0,False,10.0,100.0,2.3604,48.86784,1.373182543598393
1769,weekend,333.6750862149315,166.83754310746576,Entire home/apt,1,4.0,False,10.0,100.0,2.34829,48.88393,3.0593579923855074
1770,weekend,222.52772858607517,111.26386429303759,Shared room,1,2.0,False,10.0,100.0,2.34245,48.8706,1.7331906488097688
