,hotel_name,latitude,longitude,city_name,address_lines,search_city
627,Ibis Styles Asnieres Centre,48.90649,2.28741,Asnieres Sur Seine,10 Bis Rue Du Chateau,Paris
628,Serotel Suites,48.87624,2.34835,Paris,77 Rue Faubourg Poissoniere,Paris
629,Royal Bergere,48.87341,2.34395,Paris,8 Rue Geoffroy Marie,Paris
630,Hotel Raspail Montparnasse,48.84166,2.33001,Paris,203 Boulevard Raspail,Paris
631,Mercure Montmartre Basilique,48.88261,2.3416,Paris,100 Boulevard De Rochechouart,Paris
632,Hotel Montsouris Orleans,48.82407,2.33008,Paris,15 Rue Beaunier,Paris
633,Champerret Elysees,48.88522,2.29396,Paris,"129,Avenue De Villiers",Paris
634,Princesse Caroline,48.87562,2.29567,Paris,1 Bis Rue Troyon,Paris
635,Sejours Affaires Nanterre,48.88499,2.19614,Nanterre,50 Rue Des Vignes,Paris
636,B&B Hotel Bretigny Sur Orge,48.62409,2.29904,Bretigny-Sur-Orge,Francilienne Sortie 42,Paris
637,Test,48.84488,2.32078,Paris,33 Bd Du Montparnasse,Paris
638,Hipark By Adagio Val D Europe,48.85857,2.78608,Serris,18 Cours De L Elbe,Paris
639,Ibis Paris La Defense Esplanade Hotel,48.88787,2.25236,La Defense,"4 Boulevard De Neuilly La Defense, 1 - Pont De Neuilly",Paris
640,Campanile Cesson Vert St Denis,48.56675,2.63322,Cesson,"260 Av De L Europe, Vert Saint Denis",Paris
641,Lion Dor Paris Hotel,48.86537,2.33178,Paris,6 Rue De La Sourdiere,Paris
642,Hotel Bel Ami,48.85474,2.33305,Paris,7/11 Rue St-Benoit,Paris
643,Novotel Chateau De Versailles,48.8157,2.12815,Le Chesnay,4 Bld Saint Antoine,Paris
644,Hotel Murat,48.83743,2.25876,Paris,119 Bis Boulevard Murat,Paris
645,Paxton Paris Mlv,48.828,2.70959,Paris,1 Av Joseph Paxton,Paris
646,Tribe Paris Clichy,48.90394,2.30287,Clichy,105 Bd Jean Jaures,Paris
647,Hotel Royal Saint Germain,48.84493,2.32511,Paris,159 Rue De Rennes,Paris
648,Odalys City Levallois Maurice Ravel,48.89464,2.29547,Levallois-Perret,2 Rue Trezel,Paris
649,Ibis Styles Paris Mairie De Montreuil,48.86253,2.44354,Montreuil,15 19 Rue Franklin,Paris
650,Mercure Paris Porte De Pantin,48.89024,2.39936,Pantin,"22 Avenue Jean Lolive, Pantin",Paris
651,Eurohotel Orly Rungis,48.75336,2.33684,Fresnes,"63, Avenue Parc Medicis",Paris
652,Ibis Styles Paris Villejuif,48.78865,2.36913,Villejuif,11 Avenue Louis Aragon,Paris
653,Adagio Paris Nation,48.8407,2.39787,Paris,17 Rue Lamblardie,Paris
654,La Perle Hotel,48.85212,2.33365,Paris,14 Rue Des Canettes,Paris
655,Villa Saxe Eiffel Hotel,48.84972,2.30961,Paris,9 Villa De Saxe,Paris
656,Warwick Paris,48.87223,2.30304,Paris,5 Rue De Berri,Paris
657,Eurohotel Paris Creteil,48.76539,2.47163,Creteil,"12, Avenue Fernand Pouillon",Paris
658,Adagio Paris Opera,48.87272,2.32817,Paris,43 Rue Caumartin,Paris
659,Niepce Paris Htl Curio Collection,48.83487,2.31832,Paris,4 Rue Ni Pce,Paris
660,Citadines Place D Italie Paris,48.83059,2.35493,Paris,18 Place Ditalie,Paris
661,Residhome Neuilly Bords De Marne,48.85145,2.51335,Neuilly Plaisance,1 Rue Du Canal,Paris
662,Hotel Daval,48.85466,2.37113,Paris,21 Rue Daval,Paris
663,Novotel Paris Les Halles,48.8606,2.34656,Paris,8 Place Marguerite De Navarre,Paris
664,Ibis Budget Versailles Forum,48.75426,1.93331,Coignieres,"Rue Du Gibet, Forum De Coigni#Bcres",Paris
665,Hotel De Geneve,48.87773,2.32751,Paris,36 Rue De Londres,Paris
666,Ibis Styles Cadet Lafayette,48.87824,2.34747,Paris,11 Bis Rue Pierre Semard,Paris
667,Premiere Classe Paris-Gennevilliers Nord,48.93315,2.30384,Gennevilliers,Zac Des Barbanniers Avenue Du Gal De Gaulle,Paris
668,Hotel Maxim Folies,48.8737,2.34452,Paris,14 Rue Geoffroy Marie,Paris
669,Ibis Gare Du Nord La Fayette,48.87806,2.35266,Paris,122 Rue Lafayette,Paris
670,Hotel Belle Ville,48.87715,2.40579,Paris,349 Rue De Belleville,Paris
671,Leon Hotel,48.88299,2.33602,Paris,40 Boulevard De Clichy,Paris
672,Campanile Prime - Paris Ouest Boulogne,48.8346,2.24246,Boulogne Billancourt,"5, Rue Carnot",Paris
673,Ibis Paris Av Republique,48.86652,2.36789,Paris,14 Rue Rampon,Paris
674,Villa Glamour Tour Eiffel,48.86458,2.27796,Paris,85 Rue De La Pompe,Paris
675,Hotel Dandy,48.86233,2.34959,Paris,86 Rue Saint Denis,Paris
676,Off Paris Seine,48.84281,2.36789,Paris,86 Quai D Austerlitz,Paris
677,Odalys City Levallois Perret Paris,48.89564,2.29812,Levallois-Perret,34 Rue Jules Verne,Paris
678,Ibis Budget Pontault Combault,48.77803,2.58903,Pontault Combault,2 Za La Tete De Buis Rn 4,Paris
679,Hotel Le Singulier,48.86653,2.28527,Paris,38 Rue Saint Didier,Paris
680,Ibis Styles Massy Opera,48.73301,2.28979,Massy,6 Rue De L Opera,Paris
681,Hotel Excelsior Opera,48.87353,2.33449,Paris,5 Rue La Fayette,Paris
682,The People Paris Nation,48.84759,2.39733,Paris,28B Place De La Nation,Paris
683,Holiday Inn Auteuil,48.83798,2.25847,Paris,21 Rue Gudin,Paris
684,Hotel Salvia,48.848,2.34231,Paris,16 Rue Cujas,Paris
685,Hotel Langlois,48.87684,2.33365,Paris,63 Rue Saint Lazare,Paris
686,Hotel Marais Grands Boulevards,48.86878,2.35417,Paris,112 Boulevard De Sebastopol,Paris
687,Hotel Bowmann,48.87484,2.31795,Paris,99 Boulevard Haussmann,Paris
688,Novotel Paris Vaugirard Montparnasse,48.83988,2.30308,Paris,257 Rue De Vaugirard,Paris
689,Ibis Paris Canal Saint Martin,48.87941,2.36837,Paris,12 Rue Louis Blanc,Paris
690,Citadines Saint Germain Paris,48.85556,2.34093,Paris,"53 Ter Quai Des Grands, Augustins",Paris
691,Cour Des Vosges - Evok Collection,48.8562,2.3647,Paris,19 Place Des Vosges,Paris
692,Le Parc Hotel - Plessis Robinson,48.7787,2.25199,Plessis Robinson,10 Avenue Paul Langevin,Paris
693,Hotel De La Place Du Louvre,48.85927,2.34079,Paris,"21 Rue Des Pretres Saint, Germain L Auxerrois",Paris
694,Auteuil Tour Eiffel,48.85056,2.27522,Paris,8-10 Rue Felicien David,Paris
695,Villa Eiffel Mademoiselle,48.84372,2.29684,Paris,35 Rue Mademoiselle,Paris
696,Grands Boulevards Experimental,48.87088,2.34486,Paris,17 Boulevard Poissonniere,Paris
697,Hotel Le 46,48.87921,2.28765,Paris,46 Rue Brunel,Paris
698,Greet Hotel Paris 13 Porte D Italie,48.8162,2.3656,Le Kremlin Bicetre,"22 Rue Voltaire, Building B",Paris
699,Hotel Du Petit Moulin,48.86161,2.36217,Paris,29 To 31 Rue De Poitou,Paris
700,Hotel Charlemagne,48.8847,2.25861,Paris,Neuilly Sur Seine,Paris
701,De Castiglione Hotel,48.86914,2.32078,Paris,38-40 Rue Du Faubourg Saint Honore,Paris
702,Grand Hotel Dore,48.83913,2.39745,Paris,201 Avenue Daumesnil,Paris
703,Hyatt Regency Paris Etoile,48.88051,2.28456,Paris,3 Place Du General Koenig,Paris
704,Citadines Opera Paris,48.87133,2.33831,Paris,18 Rue Favart,Paris
705,Premiere Classe Chelles,48.88909,2.59289,Chelles Cedex,Eae De La Tuilerie,Paris
706,Neuilly Park Hotel,48.88189,2.27667,Neuilly Sur Seine,23 Rue Madeleine Michelis,Paris
707,Hotel Vendome Opera,48.87172,2.32354,Paris,11 Bis Rue De L Arcade,Paris
708,Du Continent,48.86641,2.32692,Paris,30 Rue Du Mont-Thabor,Paris
709,Lodge In,48.82104,2.37632,Paris,2-16 Rue Theroigne De Mericourt,Paris
710,Ibis Styles Paris Bercy,48.8385,2.38084,Paris,77 Rue De Bercy,Paris
711,Adagio La Defense Courbevoie,48.89335,2.25315,Courbevoie,2-4 Place Des Pleiades,Paris
712,Marquis Faubourg Saint-Honore,48.8698,2.32084,Paris,8 Rue D Anjou,Paris
713,Hotel Henri Iv-Rive Gauche,48.85192,2.34627,Paris,9 To 11 Rue Saint Jacques,Paris
714,Hotel De Normandie,48.87762,2.32693,Paris,4 Rue D Amsterdam,Paris
715,Sofitel Paris Baltimore Eiffel,48.86638,2.28951,Paris,88 Avenue Kleber,Paris
716,Fred Hotel,48.83223,2.31639,Paris,11 Avenue Villemain,Paris
717,Hotel Madeleine Plaza,48.87106,2.3248,Paris,33 Place De La Madeleine,Paris
718,Odalys City Paris - Paris Xvii,48.89975,2.32171,Paris,14 Rue Helene Et Francois Missoffe,Paris
719,Hotel Albe Bastille,48.8494,2.37442,Paris,66 Rue De Charenton,Paris
720,Novotel Evry Courcouronnes,48.61658,2.42451,Evry,"3 Rue De La Mare Neuve, Lac De Courcouronnes",Paris
721,Le Grey Hotel,48.88135,2.32742,Paris,12 Rue De Parme,Paris
722,Hotel Eden Paris,48.84051,2.29911,Paris,110 Rue Blomet,Paris
723,Hotel Odyssey,48.86504,2.34171,Paris,"19, Rue Herold",Paris
